curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,0,0,0,1,3075,5445995,3718,3247
2017,0,0,0,0,1,0,0,0,1,0,1072,5445995,3718,1073
2017,0,0,0,0,1,0,0,1,0,0,1083,5445995,3718,1103
2017,0,0,0,0,1,0,1,0,0,0,4380,5445995,3718,4076
2017,0,0,0,0,1,1,0,0,0,0,3870,5445995,3718,3914
2017,0,0,0,0,1,1,1,1,1,1,13480,5445995,3718,13413
2017,0,0,0,1,0,0,0,0,0,1,5276,10044826,3187,5342
2017,0,0,0,1,0,0,0,0,1,0,3053,10044826,3187,3165
2017,0,0,0,1,0,0,0,1,0,0,3144,10044826,3187,3238
2017,0,0,0,1,0,0,1,0,0,0,9083,10044826,3187,9153
2017,0,0,0,1,0,1,0,0,0,0,3925,10044826,3187,3976
2017,0,0,0,1,0,1,1,1,1,1,24481,10044826,3187,24874
2017,0,0,1,0,0,0,0,0,0,1,8644,10578381,2637,9357
2017,0,0,1,0,0,0,0,0,1,0,5893,10578381,2637,6293
2017,0,0,1,0,0,0,0,1,0,0,6253,10578381,2637,6381
2017,0,0,1,0,0,0,1,0,0,0,14037,10578381,2637,14484
2017,0,0,1,0,0,1,0,0,0,0,4951,10578381,2637,4847
2017,0,0,1,0,0,1,1,1,1,1,39778,10578381,2637,41362
2017,0,1,0,0,0,0,0,0,0,1,12827,10301511,2839,12817
2017,0,1,0,0,0,0,0,0,1,0,5957,10301511,2839,6154
2017,0,1,0,0,0,0,0,1,0,0,4971,10301511,2839,5033
2017,0,1,0,0,0,0,1,0,0,0,10781,10301511,2839,11286
2017,0,1,0,0,0,1,0,0,0,0,8825,10301511,2839,8733
2017,0,1,0,0,0,1,1,1,1,1,43361,10301511,2839,44023
2017,1,0,0,0,0,0,0,0,0,1,15989,7624295,1520,16196
2017,1,0,0,0,0,0,0,0,1,0,7861,7624295,1520,8125
2017,1,0,0,0,0,0,0,1,0,0,13360,7624295,1520,13349
2017,1,0,0,0,0,0,1,0,0,0,27650,7624295,1520,28467
2017,1,0,0,0,0,1,0,0,0,0,316,7624295,1520,299
2017,1,0,0,0,0,1,1,1,1,1,65176,7624295,1520,66436
2018,0,0,0,0,1,0,0,0,0,1,3247,5441390,3686,3151
2018,0,0,0,0,1,0,0,0,1,0,1073,5441390,3686,1079
2018,0,0,0,0,1,0,0,1,0,0,1103,5441390,3686,1167
2018,0,0,0,0,1,0,1,0,0,0,4076,5441390,3686,3897
2018,0,0,0,0,1,1,0,0,0,0,3914,5441390,3686,3741
2018,0,0,0,0,1,1,1,1,1,1,13413,5441390,3686,13035
2018,0,0,0,1,0,0,0,0,0,1,5342,10047963,3199,6095
2018,0,0,0,1,0,0,0,0,1,0,3165,10047963,3199,3133
2018,0,0,0,1,0,0,0,1,0,0,3238,10047963,3199,3341
2018,0,0,0,1,0,0,1,0,0,0,9153,10047963,3199,9082
2018,0,0,0,1,0,1,0,0,0,0,3976,10047963,3199,4190
2018,0,0,0,1,0,1,1,1,1,1,24874,10047963,3199,25841
2018,0,0,1,0,0,0,0,0,0,1,9357,10667128,2641,10004
2018,0,0,1,0,0,0,0,0,1,0,6293,10667128,2641,6633
2018,0,0,1,0,0,0,0,1,0,0,6381,10667128,2641,6408
2018,0,0,1,0,0,0,1,0,0,0,14484,10667128,2641,14743
2018,0,0,1,0,0,1,0,0,0,0,4847,10667128,2641,4698
2018,0,0,1,0,0,1,1,1,1,1,41362,10667128,2641,42486
2018,0,1,0,0,0,0,0,0,0,1,12817,10308251,2861,13332
2018,0,1,0,0,0,0,0,0,1,0,6154,10308251,2861,6327
2018,0,1,0,0,0,0,0,1,0,0,5033,10308251,2861,5108
2018,0,1,0,0,0,0,1,0,0,0,11286,10308251,2861,11559
2018,0,1,0,0,0,1,0,0,0,0,8733,10308251,2861,8667
2018,0,1,0,0,0,1,1,1,1,1,44023,10308251,2861,44993
2018,1,0,0,0,0,0,0,0,0,1,16196,7600910,1528,16999
2018,1,0,0,0,0,0,0,0,1,0,8125,7600910,1528,8330
2018,1,0,0,0,0,0,0,1,0,0,13349,7600910,1528,13341
2018,1,0,0,0,0,0,1,0,0,0,28467,7600910,1528,28461
2018,1,0,0,0,0,1,0,0,0,0,299,7600910,1528,343
2018,1,0,0,0,0,1,1,1,1,1,66436,7600910,1528,67474
2019,0,0,0,0,1,0,0,0,0,1,3151,5360602,3696,2805
2019,0,0,0,0,1,0,0,0,1,0,1079,5360602,3696,1052
2019,0,0,0,0,1,0,0,1,0,0,1167,5360602,3696,1188
2019,0,0,0,0,1,0,1,0,0,0,3897,5360602,3696,3737
2019,0,0,0,0,1,1,0,0,0,0,3741,5360602,3696,3927
2019,0,0,0,0,1,1,1,1,1,1,13035,5360602,3696,12709
2019,0,0,0,1,0,0,0,0,0,1,6095,10054456,3168,5444
2019,0,0,0,1,0,0,0,0,1,0,3133,10054456,3168,3190
2019,0,0,0,1,0,0,0,1,0,0,3341,10054456,3168,3377
2019,0,0,0,1,0,0,1,0,0,0,9082,10054456,3168,9032
2019,0,0,0,1,0,1,0,0,0,0,4190,10054456,3168,4353
2019,0,0,0,1,0,1,1,1,1,1,25841,10054456,3168,25396
2019,0,0,1,0,0,0,0,0,0,1,10004,10684226,2607,9788
2019,0,0,1,0,0,0,0,0,1,0,6633,10684226,2607,6870
2019,0,0,1,0,0,0,0,1,0,0,6408,10684226,2607,6640
2019,0,0,1,0,0,0,1,0,0,0,14743,10684226,2607,15088
2019,0,0,1,0,0,1,0,0,0,0,4698,10684226,2607,4491
2019,0,0,1,0,0,1,1,1,1,1,42486,10684226,2607,42877
2019,0,1,0,0,0,0,0,0,0,1,13332,10277255,2911,12092
2019,0,1,0,0,0,0,0,0,1,0,6327,10277255,2911,6477
2019,0,1,0,0,0,0,0,1,0,0,5108,10277255,2911,5142
2019,0,1,0,0,0,0,1,0,0,0,11559,10277255,2911,11673
2019,0,1,0,0,0,1,0,0,0,0,8667,10277255,2911,8672
2019,0,1,0,0,0,1,1,1,1,1,44993,10277255,2911,44056
2019,1,0,0,0,0,0,0,0,0,1,16999,7562024,1526,15566
2019,1,0,0,0,0,0,0,0,1,0,8330,7562024,1526,8393
2019,1,0,0,0,0,0,0,1,0,0,13341,7562024,1526,13612
2019,1,0,0,0,0,0,1,0,0,0,28461,7562024,1526,28449
2019,1,0,0,0,0,1,0,0,0,0,343,7562024,1526,378
2019,1,0,0,0,0,1,1,1,1,1,67474,7562024,1526,66398
2020,0,0,0,0,1,0,0,0,0,1,2805,5333546,3676,2692
2020,0,0,0,0,1,0,0,0,1,0,1052,5333546,3676,1070
2020,0,0,0,0,1,0,0,1,0,0,1188,5333546,3676,1213
2020,0,0,0,0,1,0,1,0,0,0,3737,5333546,3676,3626
2020,0,0,0,0,1,1,0,0,0,0,3927,5333546,3676,4023
2020,0,0,0,0,1,1,1,1,1,1,12709,5333546,3676,12624
2020,0,0,0,1,0,0,0,0,0,1,5444,9922831,3164,5746
2020,0,0,0,1,0,0,0,0,1,0,3190,9922831,3164,3195
2020,0,0,0,1,0,0,0,1,0,0,3377,9922831,3164,3484
2020,0,0,0,1,0,0,1,0,0,0,9032,9922831,3164,8630
2020,0,0,0,1,0,1,0,0,0,0,4353,9922831,3164,4493
2020,0,0,0,1,0,1,1,1,1,1,25396,9922831,3164,25548
2020,0,0,1,0,0,0,0,0,0,1,9788,10722614,2605,9719
2020,0,0,1,0,0,0,0,0,1,0,6870,10722614,2605,6700
2020,0,0,1,0,0,0,0,1,0,0,6640,10722614,2605,6683
2020,0,0,1,0,0,0,1,0,0,0,15088,10722614,2605,14591
2020,0,0,1,0,0,1,0,0,0,0,4491,10722614,2605,4584
2020,0,0,1,0,0,1,1,1,1,1,42877,10722614,2605,42277
2020,0,1,0,0,0,0,0,0,0,1,12092,10134822,2909,12351
2020,0,1,0,0,0,0,0,0,1,0,6477,10134822,2909,6525
2020,0,1,0,0,0,0,0,1,0,0,5142,10134822,2909,5182
2020,0,1,0,0,0,0,1,0,0,0,11673,10134822,2909,11637
2020,0,1,0,0,0,1,0,0,0,0,8672,10134822,2909,8682
2020,0,1,0,0,0,1,1,1,1,1,44056,10134822,2909,44377
2020,1,0,0,0,0,0,0,0,0,1,15566,7483692,1529,15517
2020,1,0,0,0,0,0,0,0,1,0,8393,7483692,1529,7984
2020,1,0,0,0,0,0,0,1,0,0,13612,7483692,1529,13362
2020,1,0,0,0,0,0,1,0,0,0,28449,7483692,1529,27209
2020,1,0,0,0,0,1,0,0,0,0,378,7483692,1529,377
2020,1,0,0,0,0,1,1,1,1,1,66398,7483692,1529,64449
2021,0,0,0,0,1,0,0,0,0,1,2692,5304434,3667,2643
2021,0,0,0,0,1,0,0,0,1,0,1070,5304434,3667,1074
2021,0,0,0,0,1,0,0,1,0,0,1213,5304434,3667,1183
2021,0,0,0,0,1,0,1,0,0,0,3626,5304434,3667,3361
2021,0,0,0,0,1,1,0,0,0,0,4023,5304434,3667,3779
2021,0,0,0,0,1,1,1,1,1,1,12624,5304434,3667,12040
2021,0,0,0,1,0,0,0,0,0,1,5746,9934784,3170,5529
2021,0,0,0,1,0,0,0,0,1,0,3195,9934784,3170,3199
2021,0,0,0,1,0,0,0,1,0,0,3484,9934784,3170,3565
2021,0,0,0,1,0,0,1,0,0,0,8630,9934784,3170,8333
2021,0,0,0,1,0,1,0,0,0,0,4493,9934784,3170,4875
2021,0,0,0,1,0,1,1,1,1,1,25548,9934784,3170,25501
2021,0,0,1,0,0,0,0,0,0,1,9719,10655251,2606,9478
2021,0,0,1,0,0,0,0,0,1,0,6700,10655251,2606,6763
2021,0,0,1,0,0,0,0,1,0,0,6683,10655251,2606,6734
2021,0,0,1,0,0,0,1,0,0,0,14591,10655251,2606,13889
2021,0,0,1,0,0,1,0,0,0,0,4584,10655251,2606,4414
2021,0,0,1,0,0,1,1,1,1,1,42277,10655251,2606,41278
2021,0,1,0,0,0,0,0,0,0,1,12351,10103315,2907,12263
2021,0,1,0,0,0,0,0,0,1,0,6525,10103315,2907,6606
2021,0,1,0,0,0,0,0,1,0,0,5182,10103315,2907,5099
2021,0,1,0,0,0,0,1,0,0,0,11637,10103315,2907,11279
2021,0,1,0,0,0,1,0,0,0,0,8682,10103315,2907,8528
2021,0,1,0,0,0,1,1,1,1,1,44377,10103315,2907,43775
2021,1,0,0,0,0,0,0,0,0,1,15517,7460696,1538,14272
2021,1,0,0,0,0,0,0,0,1,0,7984,7460696,1538,8036
2021,1,0,0,0,0,0,0,1,0,0,13362,7460696,1538,13276
2021,1,0,0,0,0,0,1,0,0,0,27209,7460696,1538,26441
2021,1,0,0,0,0,1,0,0,0,0,377,7460696,1538,398
2021,1,0,0,0,0,1,1,1,1,1,64449,7460696,1538,62423
2022,0,0,0,0,1,0,0,0,0,1,2643,5251051,3650,
