lat_municipio_residencia,lon_municipio_residencia,cod_municipio_residencia,universidad,curso_academico,count,log_count,Total,municipio,poblacion
27.75379,-18.00364,38013,uam,2017-18,1,0.0,3983,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2017-18,5,1.6094379124341003,3983,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2018-19,4,1.3862943611198906,4018,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2019-20,4,1.3862943611198906,4093,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2020-21,4,1.3862943611198906,4184,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2021-22,5,1.6094379124341003,4278,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2022-23,2,0.6931471805599453,4329,Frontera,Muy poco densa
27.75379,-18.00364,38013,urjc,2021-22,1,0.0,4278,Frontera,Muy poco densa
27.75379,-18.00364,38013,urjc,2022-23,1,0.0,4329,Frontera,Muy poco densa
27.8089,-17.91566,38048,uc3m,2020-21,1,0.0,5069,Valverde,Poco densa
27.8089,-17.91566,38048,uc3m,2021-22,1,0.0,5084,Valverde,Poco densa
27.8089,-17.91566,38048,uc3m,2022-23,1,0.0,5123,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2020-21,3,1.0986122886681098,5069,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2021-22,3,1.0986122886681098,5084,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2022-23,3,1.0986122886681098,5123,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2017-18,2,0.6931471805599453,4920,Valverde,Muy poco densa
27.8089,-17.91566,38048,urjc,2018-19,1,0.0,4955,Valverde,Muy poco densa
27.8089,-17.91566,38048,urjc,2019-20,1,0.0,5005,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2020-21,1,0.0,5069,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2021-22,3,1.0986122886681098,5084,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2017-18,1,0.0,4920,Valverde,Muy poco densa
27.8089,-17.91566,38048,uva,2018-19,1,0.0,4955,Valverde,Muy poco densa
27.8089,-17.91566,38048,uva,2019-20,1,0.0,5005,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2020-21,1,0.0,5069,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2021-22,1,0.0,5084,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2022-23,1,0.0,5123,Valverde,Poco densa
27.8837,-15.72398,35012,uam,2017-18,5,1.6094379124341003,19783,Mogán,Poco densa
27.8837,-15.72398,35012,uam,2018-19,4,1.3862943611198906,19657,Mogán,Poco densa
27.8837,-15.72398,35012,uam,2019-20,1,0.0,20072,Mogán,Poco densa
27.8837,-15.72398,35012,uam,2020-21,2,0.6931471805599453,20487,Mogán,Poco densa
27.8837,-15.72398,35012,uam,2021-22,3,1.0986122886681098,20572,Mogán,Poco densa
27.8837,-15.72398,35012,uam,2022-23,2,0.6931471805599453,20331,Mogán,Poco densa
27.8837,-15.72398,35012,uc3m,2017-18,2,0.6931471805599453,19783,Mogán,Poco densa
27.8837,-15.72398,35012,uc3m,2018-19,2,0.6931471805599453,19657,Mogán,Poco densa
27.8837,-15.72398,35012,uc3m,2019-20,2,0.6931471805599453,20072,Mogán,Poco densa
27.8837,-15.72398,35012,uc3m,2020-21,1,0.0,20487,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2017-18,9,2.1972245773362196,19783,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2018-19,10,2.302585092994046,19657,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2019-20,11,2.3978952727983707,20072,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2020-21,10,2.302585092994046,20487,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2021-22,11,2.3978952727983707,20572,Mogán,Poco densa
27.8837,-15.72398,35012,ucm,2022-23,11,2.3978952727983707,20331,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2017-18,5,1.6094379124341003,19783,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2018-19,5,1.6094379124341003,19657,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2019-20,5,1.6094379124341003,20072,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2020-21,4,1.3862943611198906,20487,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2021-22,3,1.0986122886681098,20572,Mogán,Poco densa
27.8837,-15.72398,35012,urjc,2022-23,3,1.0986122886681098,20331,Mogán,Poco densa
27.8837,-15.72398,35012,uva,2017-18,1,0.0,19783,Mogán,Poco densa
27.8837,-15.72398,35012,uva,2018-19,1,0.0,19657,Mogán,Poco densa
27.8837,-15.72398,35012,uva,2019-20,1,0.0,20072,Mogán,Poco densa
27.8837,-15.72398,35012,uva,2020-21,1,0.0,20487,Mogán,Poco densa
27.8837,-15.72398,35012,uva,2021-22,1,0.0,20572,Mogán,Poco densa
27.90411,-15.44564,35002,uc3m,2017-18,2,0.6931471805599453,30882,Agüimes,Moderadamente densa
27.90411,-15.44564,35002,uc3m,2018-19,6,1.791759469228055,31152,Agüimes,Moderadamente densa
27.90411,-15.44564,35002,uc3m,2019-20,7,1.9459101490553132,31619,Agüimes,Moderadamente densa
27.90411,-15.44564,35002,uc3m,2020-21,7,1.9459101490553132,31914,Agüimes,Moderadamente densa
