universidad,curso_academico,poblacion,count,Total,total_todos,porcentaje_todos
uam,2017-18,Densa,4496,10351101,10984725,0.0004092956355302477
uam,2017-18,Moderadamente densa,6140,8423566,11473726,0.0005351356656067959
uam,2017-18,Muy densa,12274,7514972,7514972,0.0016332728851152073
uam,2017-18,Muy poco densa,1042,856372,5745500,0.00018135932468888697
uam,2017-18,Poco densa,3086,4964012,10853209,0.0002843398666698485
uam,2018-19,Densa,4620,10393859,11126817,0.00041521308384958607
uam,2018-19,Moderadamente densa,6238,8906852,11529380,0.0005410525110630407
uam,2018-19,Muy densa,12209,7561707,7561707,0.0016145825274637062
uam,2018-19,Muy poco densa,1097,923739,5710686,0.00019209601088205516
uam,2018-19,Poco densa,3173,5099140,10794390,0.00029394898646426524
uam,2019-20,Densa,4697,10583925,11196460,0.0004195075943646474
uam,2019-20,Moderadamente densa,6388,9123098,11694079,0.0005462593505653588
uam,2019-20,Muy densa,12164,7635419,7635419,0.0015931018323945287
uam,2019-20,Muy poco densa,1165,936278,5699628,0.00020439930465637407
uam,2019-20,Poco densa,3149,5162850,10800622,0.0002915572825342837
uam,2020-21,Densa,4701,10807587,11288818,0.0004164297803366127
uam,2020-21,Moderadamente densa,6683,9398017,11896408,0.0005617662070769597
uam,2020-21,Muy densa,12378,7750859,7750859,0.0015969842826453172
uam,2020-21,Muy poco densa,1147,915121,5690617,0.00020155986600398516
uam,2020-21,Poco densa,3160,5146191,10824093,0.000291941320164193
uam,2021-22,Densa,4722,10950969,11216339,0.0004209929817563467
uam,2021-22,Moderadamente densa,6722,9540416,11921999,0.0005638316191772873
uam,2021-22,Muy densa,12190,7668824,7668824,0.0015895527136885656
uam,2021-22,Muy poco densa,1144,891016,5687092,0.00020115728741507962
uam,2021-22,Poco densa,3260,5272640,10890853,0.00029933376201111153
uam,2022-23,Densa,4668,11192132,11298873,0.00041313854930487314
uam,2022-23,Moderadamente densa,6801,9412515,11956985,0.0005687888711075576
uam,2022-23,Muy densa,12177,7643551,7643551,0.0015931077060910564
uam,2022-23,Muy poco densa,1153,895911,5702428,0.00020219457396042527
uam,2022-23,Poco densa,3314,5552928,10873583,0.0003047753440609227
uc3m,2017-18,Densa,5568,9847940,10984725,0.0005068856980943992
uc3m,2017-18,Moderadamente densa,6346,8431532,11473726,0.0005530897286548415
uc3m,2017-18,Muy densa,6887,7514972,7514972,0.000916437213605054
uc3m,2017-18,Muy poco densa,1065,872528,5745500,0.00018536245757549386
uc3m,2017-18,Poco densa,2872,5119932,10853209,0.0002646221960712265
uc3m,2018-19,Densa,5802,10083229,11126817,0.0005214429247825321
uc3m,2018-19,Moderadamente densa,6645,8596596,11529380,0.0005763536287293852
uc3m,2018-19,Muy densa,7130,7561707,7561707,0.0009429087903035651
uc3m,2018-19,Muy poco densa,1028,841432,5710686,0.00018001339944097785
uc3m,2018-19,Poco densa,2979,5261657,10794390,0.0002759766878906543
uc3m,2019-20,Densa,6010,10362620,11196460,0.0005367768026679861
uc3m,2019-20,Moderadamente densa,6885,8560281,11694079,0.0005887594910210543
uc3m,2019-20,Muy densa,7299,7635419,7635419,0.0009559396805859639
uc3m,2019-20,Muy poco densa,1038,867619,5699628,0.00018211714869812557
uc3m,2019-20,Poco densa,2960,5280334,10800622,0.00027405829034661154
uc3m,2020-21,Densa,6126,10607433,11288818,0.0005426608879689619
uc3m,2020-21,Moderadamente densa,7086,8884563,11896408,0.0005956419786543972
uc3m,2020-21,Muy densa,7284,7750859,7750859,0.0009397668052018493
uc3m,2020-21,Muy poco densa,1032,867800,5690617,0.00018135116104281838
uc3m,2020-21,Poco densa,3018,5457027,10824093,0.00027882243805554883
uc3m,2021-22,Densa,6103,10537928,11216339,0.0005441169351247319
uc3m,2021-22,Moderadamente densa,7032,9573447,11921999,0.0005898339699575549
uc3m,2021-22,Muy densa,6957,7668824,7668824,0.0009071795101830476
uc3m,2021-22,Muy poco densa,1013,876749,5687092,0.00017812266796457662
uc3m,2021-22,Poco densa,3031,5643072,10890853,0.0002783069425324169
uc3m,2022-23,Densa,6219,10845268,11298873,0.0005504088770623407
uc3m,2022-23,Moderadamente densa,7106,9645603,11956985,0.0005942969736936192
uc3m,2022-23,Muy densa,7024,7643551,7643551,0.0009189446109537308
uc3m,2022-23,Muy poco densa,993,869323,5702428,0.00017413635034059177
uc3m,2022-23,Poco densa,2961,5779209,10873583,0.0002723113439240773
ucm,2017-18,Densa,10246,10984725,10984725,0.0009327497957390831
ucm,2017-18,Moderadamente densa,14703,10274836,11473726,0.0012814494611427883
ucm,2017-18,Muy densa,25527,7514972,7514972,0.00339681904337102
ucm,2017-18,Muy poco densa,4188,1898290,5745500,0.0007289182838743364
ucm,2017-18,Poco densa,8549,7872840,10853209,0.0007876932988206529
ucm,2018-19,Densa,10693,10999829,11126817,0.0009610115812994858
ucm,2018-19,Moderadamente densa,15110,10424475,11529380,0.001310564835229648
ucm,2018-19,Muy densa,25971,7561707,7561707,0.003434541962548932
ucm,2018-19,Muy poco densa,4048,1978835,5710686,0.0007088465378765354
ucm,2018-19,Poco densa,8807,7980265,10794390,0.0008158867708133576
ucm,2019-20,Densa,10910,11077245,11196460,0.0009744151276385572
ucm,2019-20,Moderadamente densa,15386,10650339,11694079,0.0013157085735439277
ucm,2019-20,Muy densa,25793,7635419,7635419,0.0033780726375330548
ucm,2019-20,Muy poco densa,3909,1996304,5699628,0.000685834233392074
ucm,2019-20,Poco densa,8686,7930980,10800622,0.0008042129425509013
ucm,2020-21,Densa,11072,11288818,11288818,0.000980793560494996
ucm,2020-21,Moderadamente densa,15731,10799140,11896408,0.0013223319173316854
ucm,2020-21,Muy densa,25793,7750859,7750859,0.003327760187612754
ucm,2020-21,Muy poco densa,3792,1922454,5690617,0.000666360080110821
ucm,2020-21,Poco densa,8621,7955560,10824093,0.0007964639623846544
ucm,2021-22,Densa,10980,11216339,11216339,0.0009789290427117084
ucm,2021-22,Moderadamente densa,15179,10832375,11921999,0.0012731925241731693
ucm,2021-22,Muy densa,24604,7668824,7668824,0.0032083145994744435
ucm,2021-22,Muy poco densa,3600,1835708,5687092,0.0006330124429145863
ucm,2021-22,Poco densa,8184,7888683,10890853,0.0007514562908892444
ucm,2022-23,Densa,10791,11298873,11298873,0.0009550510037594015
ucm,2022-23,Moderadamente densa,14687,11074743,11956985,0.0012283196809229082
ucm,2022-23,Muy densa,23814,7643551,7643551,0.00311556762033772
ucm,2022-23,Muy poco densa,3340,1782350,5702428,0.0005857154180640247
ucm,2022-23,Poco densa,7940,7631936,10873583,0.0007302100880638884
