curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,1,1,1,1,1,12040.0,5251051,3650,12123.0
2022,0,0,0,1,0,1,1,1,1,1,25501.0,9915568,3124,24631.0
2022,0,0,1,0,0,1,1,1,1,1,41278.0,10649189,2601,40365.0
2022,0,1,0,0,0,1,1,1,1,1,43775.0,10093809,2950,42837.0
2022,1,0,0,0,0,1,1,1,1,1,62423.0,7485171,1539,59904.0
2023,0,0,0,0,1,1,1,1,1,1,12123.0,5203404,3642,12004.0
2023,0,0,0,1,0,1,1,1,1,1,24631.0,9826633,3101,23987.0
2023,0,0,1,0,0,1,1,1,1,1,40365.0,10765922,2632,39461.0
2023,0,1,0,0,0,1,1,1,1,1,42837.0,10105627,2934,41694.0
2023,1,0,0,0,0,1,1,1,1,1,59904.0,7514972,1542,56935.0
2024,0,0,0,0,1,1,1,1,1,1,12004.0,5172135,3626,11839.0
2024,0,0,0,1,0,1,1,1,1,1,23987.0,9763265,3104,23497.0
2024,0,0,1,0,0,1,1,1,1,1,39461.0,10822343,2630,38474.0
2024,0,1,0,0,0,1,1,1,1,1,41694.0,10242382,2967,40616.0
2024,1,0,0,0,0,1,1,1,1,1,56935.0,7561707,1544,53717.0
2025,0,0,0,0,1,1,1,1,1,1,11839.0,5167557,3623,11680.0
2025,0,0,0,1,0,1,1,1,1,1,23497.0,9752219,3092,23044.0
2025,0,0,1,0,0,1,1,1,1,1,38474.0,10984239,2632,37472.0
2025,0,1,0,0,0,1,1,1,1,1,40616.0,10305901,3093,39931.0
2025,1,0,0,0,0,1,1,1,1,1,53717.0,7635419,1554,50514.0
2026,0,0,0,0,1,1,1,1,1,1,11680.0,5163292,3599,11504.0
2026,0,0,0,1,0,1,1,1,1,1,23044.0,9763438,3110,22671.0
2026,0,0,1,0,0,1,1,1,1,1,37472.0,11180878,2636,36493.0
2026,0,1,0,0,0,1,1,1,1,1,39931.0,10390609,2994,38741.0
2026,1,0,0,0,0,1,1,1,1,1,50514.0,7750859,1557,47482.0
2027,0,0,0,0,1,1,1,1,1,1,11504.0,5165328,3595,11347.0
2027,0,0,0,1,0,1,1,1,1,1,22671.0,9840666,3092,22262.0
2027,0,0,1,0,0,1,1,1,1,1,36493.0,11181070,2655,35603.0
2027,0,1,0,0,0,1,1,1,1,1,38741.0,10327539,2997,37619.0
2027,1,0,0,0,0,1,1,1,1,1,47482.0,7668824,1552,44731.0
2028,0,0,0,0,1,1,1,1,1,1,11347.0,5173905,3586,11190.0
2028,0,0,0,1,0,1,1,1,1,1,22262.0,9823401,3046,21797.0
2028,0,0,1,0,0,1,1,1,1,1,35603.0,11210076,2669,34770.0
2028,0,1,0,0,0,1,1,1,1,1,37619.0,10409932,3028,36654.0
2028,1,0,0,0,0,1,1,1,1,1,44731.0,7643551,1552,42346.0
