curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,1,0,0,1183.0,5251051,3650,1204.0
2022,0,0,0,1,0,0,0,1,0,0,3565.0,9915568,3124,3545.0
2022,0,0,1,0,0,0,0,1,0,0,6734.0,10649189,2601,6811.0
2022,0,1,0,0,0,0,0,1,0,0,5099.0,10093809,2950,5087.0
2022,1,0,0,0,0,0,0,1,0,0,13276.0,7485171,1539,13562.0
2023,0,0,0,0,1,0,0,1,0,0,1204.0,5203404,3642,1213.0
2023,0,0,0,1,0,0,0,1,0,0,3545.0,9826633,3101,3573.0
2023,0,0,1,0,0,0,0,1,0,0,6811.0,10765922,2632,6877.0
2023,0,1,0,0,0,0,0,1,0,0,5087.0,10105627,2934,5157.0
2023,1,0,0,0,0,0,0,1,0,0,13562.0,7514972,1542,13801.0
2024,0,0,0,0,1,0,0,1,0,0,1213.0,5172135,3626,1226.0
2024,0,0,0,1,0,0,0,1,0,0,3573.0,9763265,3104,3585.0
2024,0,0,1,0,0,0,0,1,0,0,6877.0,10822343,2630,6980.0
2024,0,1,0,0,0,0,0,1,0,0,5157.0,10242382,2967,5210.0
2024,1,0,0,0,0,0,0,1,0,0,13801.0,7561707,1544,14048.0
2025,0,0,0,0,1,0,0,1,0,0,1226.0,5167557,3623,1237.0
2025,0,0,0,1,0,0,0,1,0,0,3585.0,9752219,3092,3626.0
2025,0,0,1,0,0,0,0,1,0,0,6980.0,10984239,2632,7139.0
2025,0,1,0,0,0,0,0,1,0,0,5210.0,10305901,3093,5084.0
2025,1,0,0,0,0,0,0,1,0,0,14048.0,7635419,1554,14296.0
2026,0,0,0,0,1,0,0,1,0,0,1237.0,5163292,3599,1257.0
2026,0,0,0,1,0,0,0,1,0,0,3626.0,9763438,3110,3642.0
2026,0,0,1,0,0,0,0,1,0,0,7139.0,11180878,2636,7329.0
2026,0,1,0,0,0,0,0,1,0,0,5084.0,10390609,2994,5300.0
2026,1,0,0,0,0,0,0,1,0,0,14296.0,7750859,1557,14627.0
2027,0,0,0,0,1,0,0,1,0,0,1257.0,5165328,3595,1270.0
2027,0,0,0,1,0,0,0,1,0,0,3642.0,9840666,3092,3716.0
2027,0,0,1,0,0,0,0,1,0,0,7329.0,11181070,2655,7385.0
2027,0,1,0,0,0,0,0,1,0,0,5300.0,10327539,2997,5345.0
2027,1,0,0,0,0,0,0,1,0,0,14627.0,7668824,1552,14815.0
2028,0,0,0,0,1,0,0,1,0,0,1270.0,5173905,3586,1285.0
2028,0,0,0,1,0,0,0,1,0,0,3716.0,9823401,3046,3803.0
2028,0,0,1,0,0,0,0,1,0,0,7385.0,11210076,2669,7441.0
2028,0,1,0,0,0,0,0,1,0,0,5345.0,10409932,3028,5378.0
2028,1,0,0,0,0,0,0,1,0,0,14815.0,7643551,1552,14987.0
