curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,1,0,0,0,3361.0,5251051,3650,3389.0
2022,0,0,0,1,0,0,1,0,0,0,8333.0,9915568,3124,7984.0
2022,0,0,1,0,0,0,1,0,0,0,13889.0,10649189,2601,13597.0
2022,0,1,0,0,0,0,1,0,0,0,11279.0,10093809,2950,11247.0
2022,1,0,0,0,0,0,1,0,0,0,26441.0,7485171,1539,25492.0
2023,0,0,0,0,1,0,1,0,0,0,3389.0,5203404,3642,3309.0
2023,0,0,0,1,0,0,1,0,0,0,7984.0,9826633,3101,7582.0
2023,0,0,1,0,0,0,1,0,0,0,13597.0,10765922,2632,13869.0
2023,0,1,0,0,0,0,1,0,0,0,11247.0,10105627,2934,11025.0
2023,1,0,0,0,0,0,1,0,0,0,25492.0,7514972,1542,24674.0
2024,0,0,0,0,1,0,1,0,0,0,3309.0,5172135,3626,3214.0
2024,0,0,0,1,0,0,1,0,0,0,7582.0,9763265,3104,7337.0
2024,0,0,1,0,0,0,1,0,0,0,13869.0,10822343,2630,13948.0
2024,0,1,0,0,0,0,1,0,0,0,11025.0,10242382,2967,11323.0
2024,1,0,0,0,0,0,1,0,0,0,24674.0,7561707,1544,24033.0
2025,0,0,0,0,1,0,1,0,0,0,3214.0,5167557,3623,3161.0
2025,0,0,0,1,0,0,1,0,0,0,7337.0,9752219,3092,7135.0
2025,0,0,1,0,0,0,1,0,0,0,13948.0,10984239,2632,14247.0
2025,0,1,0,0,0,0,1,0,0,0,11323.0,10305901,3093,12343.0
2025,1,0,0,0,0,0,1,0,0,0,24033.0,7635419,1554,23764.0
2026,0,0,0,0,1,0,1,0,0,0,3161.0,5163292,3599,3072.0
2026,0,0,0,1,0,0,1,0,0,0,7135.0,9763438,3110,7104.0
2026,0,0,1,0,0,0,1,0,0,0,14247.0,11180878,2636,14758.0
2026,0,1,0,0,0,0,1,0,0,0,12343.0,10390609,2994,12024.0
2026,1,0,0,0,0,0,1,0,0,0,23764.0,7750859,1557,23837.0
2027,0,0,0,0,1,0,1,0,0,0,3072.0,5165328,3595,3024.0
2027,0,0,0,1,0,0,1,0,0,0,7104.0,9840666,3092,7037.0
2027,0,0,1,0,0,0,1,0,0,0,14758.0,11181070,2655,14992.0
2027,0,1,0,0,0,0,1,0,0,0,12024.0,10327539,2997,11665.0
2027,1,0,0,0,0,0,1,0,0,0,23837.0,7668824,1552,23207.0
2028,0,0,0,0,1,0,1,0,0,0,3024.0,5173905,3586,2974.0
2028,0,0,0,1,0,0,1,0,0,0,7037.0,9823401,3046,6731.0
2028,0,0,1,0,0,0,1,0,0,0,14992.0,11210076,2669,15136.0
2028,0,1,0,0,0,0,1,0,0,0,11665.0,10409932,3028,11802.0
2028,1,0,0,0,0,0,1,0,0,0,23207.0,7643551,1552,22416.0
