curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,0,0,1,2643.0,5251051,3650,2703.0
2022,0,0,0,1,0,0,0,0,0,1,5529.0,9915568,3124,5289.0
2022,0,0,1,0,0,0,0,0,0,1,9478.0,10649189,2601,9374.0
2022,0,1,0,0,0,0,0,0,0,1,12263.0,10093809,2950,11812.0
2022,1,0,0,0,0,0,0,0,0,1,14272.0,7485171,1539,15268.0
2023,0,0,0,0,1,0,0,0,0,1,2703.0,5203404,3642,2629.0
2023,0,0,0,1,0,0,0,0,0,1,5289.0,9826633,3101,5073.0
2023,0,0,1,0,0,0,0,0,0,1,9374.0,10765922,2632,9758.0
2023,0,1,0,0,0,0,0,0,0,1,11812.0,10105627,2934,11800.0
2023,1,0,0,0,0,0,0,0,0,1,15268.0,7514972,1542,15166.0
2024,0,0,0,0,1,0,0,0,0,1,2629.0,5172135,3626,2575.0
2024,0,0,0,1,0,0,0,0,0,1,5073.0,9763265,3104,4927.0
2024,0,0,1,0,0,0,0,0,0,1,9758.0,10822343,2630,9844.0
2024,0,1,0,0,0,0,0,0,0,1,11800.0,10242382,2967,12366.0
2024,1,0,0,0,0,0,0,0,0,1,15166.0,7561707,1544,15327.0
2025,0,0,0,0,1,0,0,0,0,1,2575.0,5167557,3623,2550.0
2025,0,0,0,1,0,0,0,0,0,1,4927.0,9752219,3092,4867.0
2025,0,0,1,0,0,0,0,0,0,1,9844.0,10984239,2632,10366.0
2025,0,1,0,0,0,0,0,0,0,1,12366.0,10305901,3093,12676.0
2025,1,0,0,0,0,0,0,0,0,1,15327.0,7635419,1554,15620.0
2026,0,0,0,0,1,0,0,0,0,1,2550.0,5163292,3599,2519.0
2026,0,0,0,1,0,0,0,0,0,1,4867.0,9763438,3110,4861.0
2026,0,0,1,0,0,0,0,0,0,1,10366.0,11180878,2636,11012.0
2026,0,1,0,0,0,0,0,0,0,1,12676.0,10390609,2994,12786.0
2026,1,0,0,0,0,0,0,0,0,1,15620.0,7750859,1557,16133.0
2027,0,0,0,0,1,0,0,0,0,1,2519.0,5165328,3595,2500.0
2027,0,0,0,1,0,0,0,0,0,1,4861.0,9840666,3092,4953.0
2027,0,0,1,0,0,0,0,0,0,1,11012.0,11181070,2655,10876.0
2027,0,1,0,0,0,0,0,0,0,1,12786.0,10327539,2997,12378.0
2027,1,0,0,0,0,0,0,0,0,1,16133.0,7668824,1552,15430.0
2028,0,0,0,0,1,0,0,0,0,1,2500.0,5173905,3586,2486.0
2028,0,0,0,1,0,0,0,0,0,1,4953.0,9823401,3046,4850.0
2028,0,0,1,0,0,0,0,0,0,1,10876.0,11210076,2669,10939.0
2028,0,1,0,0,0,0,0,0,0,1,12378.0,10409932,3028,12760.0
2028,1,0,0,0,0,0,0,0,0,1,15430.0,7643551,1552,15270.0
