curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,1,0,0,0,0,3779.0,5251051,3650,3745.0
2022,0,0,0,1,0,1,0,0,0,0,4875.0,9915568,3124,5123.0
2022,0,0,1,0,0,1,0,0,0,0,4414.0,10649189,2601,4346.0
2022,0,1,0,0,0,1,0,0,0,0,8528.0,10093809,2950,8540.0
2022,1,0,0,0,0,1,0,0,0,0,398.0,7485171,1539,371.0
2023,0,0,0,0,1,1,0,0,0,0,3745.0,5203404,3642,3711.0
2023,0,0,0,1,0,1,0,0,0,0,5123.0,9826633,3101,5377.0
2023,0,0,1,0,0,1,0,0,0,0,4346.0,10765922,2632,4418.0
2023,0,1,0,0,0,1,0,0,0,0,8540.0,10105627,2934,8590.0
2023,1,0,0,0,0,1,0,0,0,0,371.0,7514972,1542,373.0
2024,0,0,0,0,1,1,0,0,0,0,3711.0,5172135,3626,3674.0
2024,0,0,0,1,0,1,0,0,0,0,5377.0,9763265,3104,5724.0
2024,0,0,1,0,0,1,0,0,0,0,4418.0,10822343,2630,4556.0
2024,0,1,0,0,0,1,0,0,0,0,8590.0,10242382,2967,9013.0
2024,1,0,0,0,0,1,0,0,0,0,373.0,7561707,1544,379.0
2025,0,0,0,0,1,1,0,0,0,0,3674.0,5167557,3623,3663.0
2025,0,0,0,1,0,1,0,0,0,0,5724.0,9752219,3092,6236.0
2025,0,0,1,0,0,1,0,0,0,0,4556.0,10984239,2632,4841.0
2025,0,1,0,0,0,1,0,0,0,0,9013.0,10305901,3093,10620.0
2025,1,0,0,0,0,1,0,0,0,0,379.0,7635419,1554,387.0
2026,0,0,0,0,1,1,0,0,0,0,3663.0,5163292,3599,3646.0
2026,0,0,0,1,0,1,0,0,0,0,6236.0,9763438,3110,7166.0
2026,0,0,1,0,0,1,0,0,0,0,4841.0,11180878,2636,5354.0
2026,0,1,0,0,0,1,0,0,0,0,10620.0,10390609,2994,15345.0
2026,1,0,0,0,0,1,0,0,0,0,387.0,7750859,1557,396.0
2027,0,0,0,0,1,1,0,0,0,0,3646.0,5165328,3595,3655.0
2027,0,0,0,1,0,1,0,0,0,0,7166.0,9840666,3092,9057.0
2027,0,0,1,0,0,1,0,0,0,0,5354.0,11181070,2655,6149.0
2027,0,1,0,0,0,1,0,0,0,0,15345.0,10327539,2997,48018.0
2027,1,0,0,0,0,1,0,0,0,0,396.0,7668824,1552,396.0
2028,0,0,0,0,1,1,0,0,0,0,3655.0,5173905,3586,3682.0
2028,0,0,0,1,0,1,0,0,0,0,9057.0,9823401,3046,14126.0
2028,0,0,1,0,0,1,0,0,0,0,6149.0,11210076,2669,7571.0
2028,0,1,0,0,0,1,0,0,0,0,48018.0,10409932,3028,130519019.0
2028,1,0,0,0,0,1,0,0,0,0,396.0,7643551,1552,397.0
