periodo,Densa,Moderadamente densa,Muy densa,Muy poco densa,Poco densa
2002,4.973,5.032,4.094,3.858,5.182
2003,4.949,5.179,4.06,3.849,5.178
2004,5.245,5.251,4.34,3.888,5.247
2005,5.248,5.378,4.319,3.891,5.257
2006,5.304,5.411,4.358,4.013,5.267
2007,5.438,5.574,4.492,4.087,5.383
2008,5.541,5.624,4.548,4.075,5.429
2009,5.575,5.661,4.617,4.106,5.45
2010,5.595,5.681,4.632,4.124,5.457
2011,5.489,5.778,4.645,4.05,5.478
2012,5.482,5.769,4.646,4.036,5.471
2013,5.391,5.667,4.616,4.018,5.395
2014,5.345,5.691,4.613,3.981,5.37
2015,5.314,5.64,4.623,3.941,5.294
2016,5.233,5.571,4.581,3.893,5.209
2017,5.114,5.47,4.526,3.854,5.106
2018,4.974,5.29,4.431,3.777,4.961
2019,4.827,5.158,4.342,3.701,4.825
2020,4.557,4.911,4.101,3.695,4.649
2021,4.419,4.755,4.01,3.61,4.514
2022,4.282,4.596,3.925,3.566,4.382
2023,4.156,4.444,3.849,3.529,4.256
2024,4.039,4.3,3.78,3.497,4.136
2025,3.931,4.162,3.719,3.469,4.023
2026,3.832,4.032,3.664,3.445,3.916
2027,3.741,3.907,3.615,3.425,3.814
2028,3.656,3.788,3.57,3.407,3.717
2029,3.578,3.675,3.531,3.392,3.626
